gov.noaa.nodc:0130804,oceanographic profile data collected ctd sound velocimeter moving vessel profiler casts aboard sealth project north atlantic ocean ncei accession ncei accession includes physical profile data collected aboard sealth project north atlantic ocean data include sound velocity instruments used collect data include ctd sound velocimeter moving vessel profiler data collected submitted noaa office coast survey support hydrographic multibeam surveys meet noaa charting requirements national oceanographic data center nesdis noaa department commerce national centers environmental information nesdis noaa department commerce oceanography altitude latitude longitude time mvp mvp seacat sealth
Ship Track for Lost City 2005 - Office of Ocean Exploration,ship track lost city office ocean exploration ship track noaa ship ronald h brown lost city expedition sponsored national oceanic atmospheric administration noaa office ocean exploration july august track based hourly position ship computer ship locations north atlantic ridge lost city
Dive Activities from Cruise Information Management System (CIMS) for Life on the Edge 2003: Exploring Deep Ocean Habitats - Office of Ocean Exploration,dive activities cruise information management cims life edge exploring deep ocean habitats office ocean exploration information dive activities recorded cruise information management cims noaa office ocean data manager life edge exploring deep ocean habitats expedition august information contained cims includes submersible remotely operated vehicle autonomous underwater vehicle scuba operational information summary scientific observations dive ship activity information positions transits visitor shuttles sample information water column conditions weather observations sea state observations education outreach activity information media event information scientific instrumentation information transect information dive site profiles record data collected principal investigators data presented tables original cims filemaker pro database depth fish abundance fish abundance habitat health biodiversity relief disturbance crustacean abundance echinoderm abundance mollusk abundance pelagic abundance invertebrates vertebrates benthic abundance sediments habitat anthropology geomorphology south atlantic bight atlantic ocean north atlantic lophelia banks northern lophelia bank southern lophelia bank carolina coast
Submersible Data (Dive Waypoints) for Investigating the Charleston Bump 2003 - Office of Ocean Exploration,submersible data dive waypoints investigating charleston bump office ocean exploration data information collected submersible johnson ii waypoints track fourteen dives investigating charleston bump expedition sponsored national oceanic atmospheric administration noaa office ocean exploration august august measurements information include position depth personnel assignments dive mission target vehicle dive comments hyperlinks ctd plots water temperature salinity marine operations division harbor branch oceanographic institution provided original submersible data quality assurance included comparsion synchronization dive log waypoint depths ctd depths review minimum maximum values deletion bad values water temperature salinity ph ctd fish sponges coral reef ecosystem deep reef habitat south atlantic bight atlantic ocean north atlantic charleston bump
gov.noaa.nodc.ncddc.eds2007_ship_obs,ship sensor observations expedition deep slope office ocean exploration hourly measurements selected ship sensors noaa ship ronald h brown expedition deep slope expedition sponsored national oceanic atmospheric administration noaa office ocean exploration minerals management service mms june july measurements include position heading air temperature relative humidity barometric pressure wind speed direction depth fluorometer sea surface temperature salinity data set compiled shipboard computer scs navigation meteorology air temperature water temperature relative humidity barometric pressure wind speed wind direction irradiance fluorometer chlorophyll sea surface temperature salinity gulf mexico
noaa.ncei.nsidc.NSIDC-0072,adjusted monthly precipitation snowfall rainfall canada data set distributed nsidc october withdrawn distribution duplicates noaa national climatic data center ncdc data set canadian monthly precipitation groisman national climatic data center data documentation canadian monthly precipitation national climatic data center patton ave asheville nc pp contains monthly rainfall snowfall precipitation sum rainfall snowfall values stations canada ncdc investigator pavel groisman obtained original data canadian atmospheric environment service aes early adjusted measurements account inconsistencies changes instrumentation period record contains original adjusted data related data historical adjusted climate database canada version december rehabilitated precipitation homogenized temperature data sets provided climate monitoring data interpretation climate research branch meteorological service canada monthly rehabilitated precipitation homogenized temperature data sets updated annually includes alternative version data set using different correction methods distributed meteorological service canada provides microsoft word document compares different data correction methods continent north america canada geographic region arctic earth science atmosphere precipitation precipitation earth science atmosphere precipitation precipitation rate earth science atmosphere precipitation rain earth science atmosphere precipitation snow earth science terrestrial hydrosphere snow cover eosdis earth observing data information esip earth science information partners program adjusted data canada canadian arctic corrected data evaporation loss ground stations instrumental inhomogeneities mean monthly precipitation mean monthly rainfall mean monthly snowfall nipher rain gauge nipher snow gauge noaa rainfall adjustment snowfall adjustment snow ruler station data trace precipitation wetting loss undercatch
Ship Track for Islands in the Stream 2002 - Deep Reef Habitat - Office of Ocean Exploration,ship track islands stream deep reef habitat office ocean exploration ship track seward johnson islands stream deep reef habitat expedition sponsored national oceanic atmospheric administration noaa office ocean exploration july august track based hourly position virtual instrument data vids provided university miami marine technology group harbor branch oceanographic institution ship track south atlantic bight atlantic ocean north atlantic florida north carolina
gov.noaa.nodc:0123467,dissolved inorganic carbon total alkalinity ph temperature salinity variables collected discrete sample profile observations using ctd niskin bottle instruments wecoma west coast california current west coast ocean acidification cruise nodc accession archival package contains discrete bottle ctd profile data dedicated west coast ocean acidification cruise cruise took place august aboard wecoma stations occupied northern washington southern california thirteen transect lines stations ctd casts conducted discrete water samples collected niskin bottles cruise designed obtain synoptic snapshot key carbon physical biogeochemical parameters relate ocean acidification oa coastal realm cruise transect lines occupied west coast carbon cruise calcofi stations effort conducted support coastal monitoring research objectives noaa ocean acidification program oap national oceanographic data center nesdis noaa department commerce national centers environmental information nesdis noaa department commerce oceanography ocean acidification data stewardship oads project ocean acidification program oap
2004 Hypoxia Watch Bottom CTD Station Locations,hypoxia watch ctd station locations noaa hypoxia watch project provides maps dissolved oxygen near sea floor continental shelf period extends noaa national marine fisheries service mississippi laboratories pascagoula stennis space center noaa national coastal data development center ncddc stennis space center began hypoxia watch project scientists aboard noaa research vessel oregon ii measure seawater properties water temperature salinity chlorophyll dissolved oxygen approximately locations oregon ii cruises waters south pascagoula ms makes way brownsville texas mouth mississippi river scientist aboard ship processes measurements electronic dissolved oxygen sensors checks measurements periodically chemical analyses seawater sends data ncddc stennis space center approximately days physical scientists ncddc transform dissolved oxygen measurements contour maps identify areas low oxygen hypoxia cruise data received ship ncddc generates new maps immediately publishes web map usually cover area mississippi coast successive maps add areas continental shelf brownsville corpus christi final map usually cover entire coast maps published days approximately june july hypoxia anoxia dead zone dissolved oxygen seamap gulf mexico louisiana texas mississippi
gov.noaa.nodc:0123468,dissolved inorganic carbon total alkalinity temperature salinity variables collected discrete sample profile observations using ctd niskin bottle instruments bell m shimada west coast united states nodc accession cruise represents second dedicated west coast ocean acidification cruise took place september aboard noaa ship bell m shimada stations occupied northern washington southern california fourteen transect lines stations ctd casts conducted discrete water samples collected niskin bottles cruise designed obtain synoptic snapshot key carbon physical biogeochemical parameters relate ocean acidification oa coastal realm cruise transect lines occupied west coast carbon cruise calcofi stations effort conducted support coastal monitoring research objectives noaa ocean acidification program oap national oceanographic data center nesdis noaa department commerce national centers environmental information nesdis noaa department commerce oceanography ocean acidification data stewardship oads project ocean acidification program oap
